t,flow_mol_s,h2s_frac,h2s_an,air_scfm,o2_mol_s
0,121.49014245903369,0.8661704492452168,0.8661704492452168,4708.040817481247,52.615585636303294
10,119.76845951775014,0.842404835000338,0.8542876421227774,4577.648088013791,51.15835744104805
20,122.30952755824698,0.8616517807662957,0.8567423550039502,4688.202277156032,52.39387633983654
30,125.11867525164324,0.8521758334389712,0.8556007246127054,4789.48807462151,53.52581460394386
40,120.03012065280394,0.8529582753172615,0.8550722347536166,4591.862366383,51.31721175216965
50,120.21299353590746,0.8308423187611951,0.8510339154215464,4577.13893319617,51.15266728670418
60,125.83565224922265,0.8286253462465101,0.847832691253684,4773.200505909643,53.34378985106056
70,123.58267044791832,0.8485578924646605,0.8479233414050561,4688.241567195557,52.39431543297938
80,120.0539959954865,0.8533416809560302,0.8485253791329421,4557.611178627125,50.93443123424744
90,123.27181007569784,0.8397297063456541,0.8476458118542134,4674.918119452723,52.24541676517665
100,120.43520312404473,0.8402038101469647,0.8469692662444633,4563.698194316195,51.00245780998753
110,120.60916634843277,0.8568145249871303,0.847789704473019,4574.717378118718,51.125604747637496
120,122.9126727917777,0.8569373922199649,0.8484933727612456,4665.95915089469,52.14529414609741
130,116.6268645261434,0.8500404793083896,0.8486038803717558,4427.916559081322,49.48500489623818
140,117.37131806891217,0.859328942872352,0.8493188845384623,4459.935495079802,49.84283846954877
150,121.03798058357728,0.8398939311838873,0.8487298249538013,4596.073319048748,51.36427203673057
160,119.86448516849892,0.8481856256642553,0.8486978132308869,4551.341495382778,50.86436322327555
170,124.023178285849,0.8683327632815367,0.8497886437892563,4715.302886316287,52.69674423698238
180,120.5331030720801,0.8526462120873516,0.849939042120735,4583.42291415668,51.22289508446178
190,119.19624352597812,0.8533351101549369,0.8501088455224451,4533.492681730525,50.66489048724074
200,128.00527988702717,0.8752404352279443,0.8513055878893736,4875.38798479835,54.48580502358474
210,123.10534278792565,0.8382965216883383,0.8507142666984175,4685.5052944637855,52.36373570824374
220,124.15871336526484,0.8603632100924883,0.8511337859764205,4727.927941088212,52.837837884269526
230,119.85442026699921,0.8691477208854457,0.85188436659763,4568.046530225998,51.051053446539385
240,122.66709207719272,0.8493682185471617,0.8517837206756113,4674.694355273739,52.242916046984504
250,124.80358342389437,0.8613220329504487,0.8521505788400281,4758.161883335886,53.17572292799066
260,121.18737123553383,0.8430144444060598,0.8518122034906218,4618.458417196634,51.61444086368803
270,125.93590448887107,0.846076216226886,0.8516073468026313,4798.2710827461015,53.62397074447854
280,123.17423655254859,0.8569020911372192,0.8517899241934791,4694.055203613821,52.45928680784252
290,124.2672591903539,0.8611469659735624,0.8521018255861486,4737.443359158201,52.944179208343826
300,123.50221630452668,0.8644795215855696,0.8520454613308269,4707.966173023476,52.61475143328501
310,131.0279368953328,0.8690752839851679,0.852934476296988,5000.06197350542,55.87912236804773
320,125.59311035359273,0.8528133581016544,0.8526398622081666,4791.012057061331,53.54284615309118
330,122.62166578105588,0.8655327502095618,0.8530850927671862,4680.102660169923,52.30335756404948
340,128.42229046063085,0.8502823760752785,0.8529958961257869,4900.982686061459,54.771843366995945
350,122.45060671363733,0.8628351118410803,0.8540623225617829,4678.927539499131,52.290224784474276
360,126.89679975236886,0.8559978427649141,0.8549747391123964,4853.99995606151,54.246779131239784
370,120.54682427171116,0.8584884712465327,0.8553057584051256,4612.888791723997,51.552196478522646
380,122.59542198888266,0.8583754891158305,0.8554735520104522,4692.201513969864,52.43857055452487
390,127.32319504252467,0.8382020587706439,0.8554226304246185,4872.861623997899,54.457571208671595
400,129.099094329357,0.8431165685487751,0.8555197223713457,4941.388912969724,55.223410669521826
410,127.54730155777435,0.8554918590627979,0.8554756335072011,4881.740997744577,54.556804301135514
420,126.83414015478336,0.8377022901367585,0.854834463437761,4850.807126647403,54.211097072402
430,126.42401614548167,0.8629958064579527,0.8552663076760798,4837.564420307648,54.063100745163595
440,123.03632571047862,0.8635078472888926,0.8554056044899645,4708.702579812884,52.62298128429806
450,125.45521450760903,0.8581725625452559,0.8560148922020101,4804.6953163251765,53.6957659614555
460,126.37394657163753,0.8437980629530246,0.8558686401116357,4839.054096539464,54.07974889890396
470,131.06657543906252,0.8689193146904329,0.8558881918252655,5018.8567717348305,56.08916713063448
480,129.0636099869255,0.8755985295605662,0.8566532690743728,4946.576159429128,55.2813817069198
490,122.87935239265977,0.8568056644235568,0.85676895421666,4710.190259218842,52.63960712213977
500,129.2745853427449,0.8605486975271106,0.8562792296266323,4952.498790679209,55.347571173793966
510,127.27906201735098,0.8575691519756743,0.8569216506362101,4879.708698021778,54.534091957668466
520,126.53360571167815,0.8609638525783834,0.8569416720524067,4851.242245557382,54.21595982469272
530,130.52752402183273,0.8545729414424557,0.8564558460709736,5001.530173565207,55.895530510834035
540,131.9116514980909,0.8555312274744539,0.8566612797018833,5055.779333895555,56.5018020899717
550,131.73665973267336,0.8650423587702218,0.8567852905625425,5049.803329662258,56.43501614339866
560,126.54731685735592,0.8795497087892218,0.8580031327086479,4857.777622924681,54.28899714974263
570,128.2574415039199,0.8422010102285069,0.8578739591753686,4922.683027528707,55.01435956833549
580,130.29691344422378,0.8552718236127618,0.8578196169245533,5000.643756186742,55.885624188587855
590,132.34571514806808,0.8446135394556213,0.8572685027072886,5076.011151728237,56.72790653235482
600,128.09540318174356,0.8724465585967633,0.8575340706076617,4914.515894842315,54.92308625828509
610,129.0876626559548,0.850757064157945,0.8569234632800876,4949.058491889953,55.30912347493621
620,126.43519460991519,0.8423105385758282,0.8565733692958936,4845.385826303861,54.15051032229852
630,126.27296520364713,0.8632324870725842,0.8564966938579942,4838.735522034607,54.076188610284646
640,132.40435368324665,0.8744017661954344,0.857300673528666,5078.450757059323,56.75517079538753
650,134.13847369800735,0.863702638576786,0.857329591086523,5145.137545673463,57.50044140224147
660,129.95446822704798,0.8592226098723781,0.8574370833234384,4985.276995831671,55.713890100724235
670,133.2795918483807,0.8613739773870004,0.8575332668614539,5113.4079944101895,57.14584190185155
680,131.45012805466965,0.8715388771847361,0.8579720464637508,5045.7992393461855,56.390267687493505
690,128.5238031644202,0.8487563450775607,0.8583238560073148,4935.493300889536,55.15752316040513
700,131.63499136779308,0.8564876982686327,0.85876956033131,5057.59217479667,56.52206183056772
710,135.25424079166575,0.853187063153526,0.8586927338010008,5196.183673121686,58.07091689178714
720,130.61964937529774,0.8461430701790944,0.8589740931357455,5019.776652924696,56.09944743392771
730,135.50571086325652,0.8546456920426053,0.8586957559885672,5205.862946850486,58.17908941524613
740,123.0348398392159,0.8691143392400158,0.8588826390536045,4727.7853175432765,52.836243968321654
750,133.43970833250975,0.8638107951536567,0.8590705801405513,5128.728926328448,57.317063825497556
760,131.31268637774102,0.8646954852941159,0.8597671608852544,5051.069617410703,56.44916777760311
770,130.2296751517658,0.8598247037544684,0.8594640071873888,5007.644225066789,55.96385923032427
780,131.47472895063493,0.8637007130197372,0.8590674133026945,5053.186702629546,56.47282765714742
790,125.30707711756243,0.8505690590213076,0.858859526455953,4814.9696293649695,53.810588457384625
800,130.67868442172173,0.8555873100240742,0.8586941468725183,5020.408675251366,56.106510716966696
810,132.47452489713493,0.8607098563664045,0.858798837018876,5090.021694475138,56.884483958143804
820,135.89991990891673,0.861672335862511,0.858822453128347,5221.778022089868,58.35695129806088
830,129.97203456132993,0.8622063767524771,0.8590769009720144,4995.486322733798,55.82798633198743
840,129.15952278826163,0.8577284234544436,0.8591501408380141,4964.680586393163,55.483711097052826
850,130.1354366132952,0.8554447769658299,0.8588302214445344,5000.330462988149,55.88212292218874
860,134.4401595760556,0.8909039146308797,0.8592086949725896,5168.0118130274395,57.75607703062471
870,132.73098966783226,0.8685012209636517,0.860085368663761,5107.515666069985,57.07999109078167
880,130.20377352642367,0.8636719245283535,0.8603653720276141,5011.898979056872,56.01140902473035
890,133.37870670641678,0.8573154209121059,0.8607887680761636,5136.637388642788,57.40544631670421
900,132.17351832458192,0.8552423278313677,0.8602152937173171,5086.8323587445375,56.84884094361571
910,134.82913218979394,0.8585534739421368,0.8604751740434567,5190.60402472503,58.008560493570585
920,129.85547976507874,0.8628966851567266,0.8611613789294866,5003.11678733201,55.91326200802262
930,131.01462547941713,0.84127091067565,0.8604293263829222,5043.4857604406125,56.36441297378286
940,130.85479287555214,0.844488191603262,0.8594322072298498,5031.495334035445,56.23041173382029
950,127.67161269034953,0.8539200366452222,0.8591061204987978,4907.236313033917,54.84173193811563
960,132.97909633139489,0.8624669789086736,0.859214266133341,5111.88025202425,57.128768332727155
970,132.90002076921792,0.8581095275963506,0.8591054511403192,5108.193482089304,57.08756614974837
980,132.1558607219944,0.8753900958688171,0.8592338250964553,5080.349706549854,56.77639285853682
990,131.4579754951945,0.8458914897832949,0.8591383299199797,5052.959880190521,56.4702927608015
1000,127.93439828861278,0.8533085260008714,0.8590323575110543,4916.914640309672,54.949893884312615
1010,130.9349119078928,0.8761293696416792,0.8597971010606594,5036.713546987882,56.28872884301952
1020,131.1826128271312,0.8623460649978265,0.8603372008879506,5049.411838617713,56.430640962430914
1030,129.81541233475343,0.869989664576318,0.8608486666390742,4999.756841518479,55.87571230878706
1040,131.74746289078718,0.8817600221498878,0.8612701894027367,5076.653137044723,56.73508115863915
1050,133.45014617332026,0.8544157689727004,0.8609570218633714,5140.393211039199,57.4474202083067
1060,137.9008328739557,0.8604668761682004,0.860816068225841,5310.960474587763,59.35362637981367
1070,132.76790918058092,0.8588419023855859,0.8607833081802115,5113.082120942442,57.14220004231515
1080,133.01635821815373,0.8421263381479626,0.8600641623511525,5118.370504391567,57.20130135494861
1090,132.0175437727412,0.8586743413972797,0.8603343384303516,5081.532652543312,56.78961309146064
1100,126.47939866266434,0.8706949164901153,0.860837925312553,4871.21164573497,54.43913156977363
